LATITUDE,LONGITUDE,day_of_week,hour,cluster
-3.7064977577788274,-38.57625257628646,3,14,0
-3.795585461592436,-38.61425433017,0,12,1
-3.795585461592436,-38.61425433017,4,17,1
-3.7161119886790335,-38.466813625697846,2,8,5
-3.889034625061252,-38.62006138454072,1,7,3
-3.745996551200228,-38.58934891495764,1,10,0
-3.7461188811084094,-38.59024677130726,0,16,0
-3.908669849152661,-38.61887623701412,1,12,3
-3.862953084666596,-38.50006649781401,0,11,4
-3.728805174364267,-38.589941767530966,6,10,0
-3.890897561794942,-38.61003466226209,2,9,3
-3.772420979226341,-38.56273023755611,1,13,2
-3.860791769992032,-38.49196804822734,3,14,4
-3.8579801328359866,-38.49514500796748,2,13,4
-3.76800779446265,-38.63558560000644,0,17,1
-3.878284507261301,-38.61802734652996,5,8,3
-3.838633416437809,-38.56379711009952,0,8,2
-3.838633416437809,-38.56379711009952,4,14,2
-3.838633416437809,-38.56379711009952,0,9,2
-3.773687114427428,-38.61262502957762,5,19,1
-3.728687666093677,-38.65004296095853,0,10,1
-3.7498670935199327,-38.547243949796034,5,22,0
-3.73412407638324,-38.59470743543511,1,15,0
-3.781666234062685,-38.55995266888807,3,14,2
-3.76169266916996,-38.62987926129471,0,7,1
-3.741601803692945,-38.62456352278057,3,11,1
-3.749893919849286,-38.54726812578828,1,14,0
-3.749893919849286,-38.54726812578828,1,7,0
-3.790598844475975,-38.59417255817637,4,10,2
-3.793125050813528,-38.496522610727645,0,8,4
-3.76232107698192,-38.63225354624006,0,9,1
-3.801993541731473,-38.557050352653086,3,10,2
-3.771634879664731,-38.60543222146637,0,9,1
-3.8194414664682,-38.58984921616811,0,12,2
-3.8418863936357615,-38.5644134325382,0,13,2
-3.716141619891035,-38.557639072367415,2,8,0
-3.7304643477817634,-38.53667131403123,0,11,0
-3.734905092085108,-38.57550758986064,6,7,0
-3.7354978291717824,-38.60025947886594,4,8,0
-3.7084309069302166,-38.55633444322424,5,9,0
-3.8853512787137,-38.63027902471994,2,13,3
-3.8853512787137,-38.63027902471994,1,16,3
-3.787915653084339,-38.63051415576541,6,16,1
-3.762350431014989,-38.63221928631189,6,6,1
-3.8032411761212135,-38.58994147646344,3,13,2
-3.715463200827327,-38.57461830180842,0,10,0
-3.778691319685115,-38.62638606700133,0,19,1
-3.733452280475036,-38.58852034608353,2,6,0
-3.849516855635667,-38.51542686808003,0,9,4
-3.7605940869923433,-38.53884986953396,0,8,5
-3.788842834397142,-38.57932727230885,2,9,2
-3.773513786749042,-38.49338012845768,2,8,5
-3.728843402435292,-38.468480248861184,2,16,5
-3.705215985347255,-38.58194352870036,2,17,0
-3.7498984673151456,-38.56306388754225,3,10,0
-3.826654967406693,-38.46634302416811,2,14,4
-3.858187692436083,-38.489528762232325,1,12,4
-3.858187692436083,-38.489528762232325,1,14,4
-3.87625607020581,-38.61439809357181,2,16,3
-3.887916192008343,-38.61615684072895,4,11,3
-3.7874592219268095,-38.50532077790331,2,21,5
-3.7874592219268095,-38.50532077790331,2,19,5
-3.799349655455942,-38.55088786213073,4,15,2
-3.753721932459994,-38.55055707700375,0,7,0
-3.8499615289171336,-38.51978458751746,0,6,4
-3.757696766841709,-38.614529219184966,6,1,1
-3.775017233845267,-38.59815862345592,3,10,1
-3.775017233845267,-38.59815862345592,3,10,1
-3.784944521929433,-38.620255506414864,0,9,1
-3.843896344017528,-38.47137579405538,6,15,4
-3.802569384317395,-38.56357362716539,6,10,2
-3.794923095571312,-38.60920436041499,4,8,1
-3.71514061171292,-38.57190958055398,5,11,0
-3.744172368657354,-38.52044216023508,2,7,5
-3.78779007212212,-38.58242057811076,0,6,2
-3.873644149726804,-38.62717387914825,3,9,3
-3.773985866143146,-38.5570195774297,4,8,2
-3.86607180341014,-38.626839753662686,4,10,3
-3.83922594115073,-38.48367860079394,5,7,4
-3.767491102563077,-38.65276473463595,0,13,1
-3.767491102563077,-38.65276473463595,6,11,1
-3.767491102563077,-38.65276473463595,3,8,1
-3.727221632125487,-38.48255173619741,3,17,5
-3.772714731547965,-38.62138006597651,4,14,1
-3.756449218204344,-38.59690986757557,3,16,1
